difficulty,word,phonemes,Annotator 1 (Gadi),Annotator 2 (Sadouk),Note
low,????????,w-a-d?-u-d-a-r-u-n,w-a-d?-u-d-a-r-u-n,w-a-d?-u-d-a-r-u-n,
low,??????????,s-i-l-s-i-l-a,s-i-l-s-i-l-a,s-i-l-s-i-l-a,
low,?????????,w-a-s-u-x-n-a,w-a-s-u-x-n-a,w-a-s-u-x-n-a,
low,???????,?-a?-h-i-d-i-n,?-a?-h-i-d-i-n,?-a?-h-i-d-i-n,
low,??????,?-a-m-s-u,?-a-m-s-u,?-a-m-s-u,
low,??????,n-a-f-a-x-a,n-a-f-a-x-a,n-a-f-a-x-a,
low,????????,x-a-?-a-b-t-i,x-a-?-a-b-t-i,x-a-?-a-b-a?-t-i,alef après ba = /a?/ long manquant chez A1
low,???????????,a-l-m-u-d-r-a-k-a,a-l-m-u-d-r-a-k-a,a-l-m-u-d-r-a-k-a,
low,??????????????,l-i-l-s-s-a-j-a?-r-a?-t-i,l-i-l-s-s-a-j-a?-r-a?-t-i,l-i-l-s-s-a-j-a?-r-a?-t-i,
low,????????????,w-a-r-a-b-b-a?-h-u-m,w-a-r-a-b-b-a?-h-u-m,w-a-r-a-b-b-a?-h-u-m,
low,????????????,t-a-t-a-b-a-n-n-a?-h-u,t-a-t-a-b-a-n-n-a?-h-u,t-a-t-a-b-a-n-n-a?-h-u,
low,????????,w-a-?-a-d?-i-j-a,w-a-?-a-d?-i-j-a,w-a-?-a-d?-i-j-a,
low,?????????????,a-l-m-u-n-k-a-s-i-r-i,a-l-m-u-n-k-a-s-i-r-i,a-l-m-u-n-k-a-s-i-r-i,
low,????????,j-u-f-s-i-d-u,j-u-f-s-i-d-u,j-u-f-s-i-d-u,
low,??????,k-a-r-i-h-a,k-a-r-i-h-a,k-a-r-i-h-a,
low,???????????,w-a?-l-w-i-t-r-i,w-a-l-w-i-t-r-i,w-a-l-w-i-t-r-i,
low,??????????,w-a?-d?-i-b-a?-t-i,w-a?-d?-i-b-a?-t-i,w-a?-d?-i-b-a?-t-i,
low,??????????????,t-a-r-k-i?-b-i-j-j-a,t-a-r-k-i?-b-i-j-j-a,t-a-r-k-i?-b-i-j-j-a,
low,????????????,w-a-m-u-b-a-j-j-i-n-a-n,w-a-m-u-b-a-j-j-i-n-a-n,w-a-m-u-b-a-j-j-i-n-a-n,
low,?????????,?-a-d-i?-d-a,?-a-d-i?-d-a,?-a-d-i?-d-a,
low,????????,b-i-d?-a-w-z-i,b-i-d?-a-w-a?-z-i,b-i-d?-a-w-a?-z-i,alef après waw = /a?/ long manquant chez A1
low,?????????????,a-l-m-u-f-a-h-r-a-s-u,a-l-m-u-f-a-h-r-a-s-u,a-l-m-u-f-a-h-r-a-s-u,
low,????????,w-w-u-k-a-l-a,w-w-u-k-a-l-a,w-w-u-k-a-l-a,
low,???????????????,a-s-s-a-d?-d-a-t-a-j-n-i,a-s-s-a-d?-d-a-t-a-j-n-i,a-s-s-a-d?-d-a-t-a-j-n-i,
low,?????,k-a-f-f-a,k-a-f-f-a,k-a-f-f-a,
low,??????????,m-a-w-l-a?-n-a?,m-a-w-l-a?-n-a?,m-a-w-l-a?-n-a?,
low,??????????,a-l-d?-i-b-a?-l-a,a-l-d?-i-b-a?-l-a,a-l-d?-i-b-a?-l-a,
low,???????????,l-i-l-k-a-m-a?-l-i,l-i-l-k-a-m-a?-l-i,l-i-l-k-a-m-a?-l-i,
low,?????????????,m-u-t-a-m-a-j-j-i-z-a-n,m-u-t-a-m-a-j-j-i-z-a-n,m-u-t-a-m-a-j-j-i-z-a-n,
low,???????????,w-a-t-a-x-a-?-?-a-m-a,w-a-t-a-x-a-?-?-a-m-a,w-a-t-a-x-a-?-?-a-m-a,
low,??????????,s-a-l-m-a-t-i-h-i,s-a-l-a?-m-a-t-i-h-i,s-a-l-a?-m-a-t-i-h-i,alef après lam = /a?/ long ; A1 manque /a?/
low,?????????,w-a-n-u-d?-u?-m-i-n,w-a-n-u-d?-u?-m-i-n,w-a-n-u-d?-u?-m-i-n,
low,?????????????,w-a?-l-k-u-f-f-a?-r-u,w-a-l-k-u-f-f-a?-r-u,w-a-l-k-u-f-f-a?-r-u,
