word,phonemes,difficulty
فَدِيرَ,f-a-d-iː-r-a,low
أَدْيِرَةِ,ʔ-a-d-j-i-r-a,medium
ثَخُنَتْ,θ-a-x-u-n-a-t,medium
واسْتَمَعْته,w-s-t-a-m-a-ʕ-t-h,medium
وَأَسْقاطهم,w-a-ʔ-a-s-q-tˤ-h-m,high
الْخَاصَّ,a-l-x-aː-sˤ-sˤ-a,medium
الْعَفَافِ,a-l-ʕ-a-f-aː-f-i,medium
تَسْتَغْرِقُهَا,t-a-s-t-a-ɣ-r-i-q-u-h-aː,medium
وَلِإِتَاحَةِ,w-a-l-i-ʔ-i-t-aː-ħ-a,medium
يَتَهَاوَنَ,j-a-t-a-h-aː-w-a-n-a,low
وَنَبَضَ,w-a-n-a-b-a-dˤ-a,medium
الْهُطُولُ,a-l-h-u-tˤ-uː-l-u,medium
صَفَّيْته,sˤ-a-f-f-a-j-t-h,medium
مُخَاطَبَةَ,m-u-x-aː-tˤ-a-b-a,medium
فَشَّ,f-a-ʃ-ʃ-a,low
اسْتِمْتَاعٍ,s-t-i-m-t-aː-ʕ-i-n,medium
الاِنْتِخَابِ,a-l-n-t-i-x-aː-b-i,low
عَذَابَهُ,ʕ-a-ð-aː-b-a-h-u,medium
الضّفّة,a-dˤ-dˤ-f-f,medium
السِّيَاسِيِّينَ,a-s-s-i-j-aː-s-i-j-j-iː-n-a,low
الْقَطْعِيَّةِ,a-l-q-a-tˤ-ʕ-i-j-j-a,high
تَلَفَّظْنَا,t-a-l-a-f-f-a-ðˤ-n-aː,medium
مُتَّصِلٍ,m-u-t-t-a-sˤ-i-l-i-n,medium
الْعَظِيمَةُ,a-l-ʕ-a-ðˤ-iː-m-a,medium
لَيَنْضَح,l-a-j-a-n-dˤ-a-ħ,medium
الْعَشْوَائِيَّةِ,a-l-ʕ-a-ʃ-w-aː-ʔ-i-j-j-a,medium
شَظِيَّة,ʃ-a-ðˤ-i-j-j-a,medium
يَلْطُفُ,j-a-l-tˤ-u-f-u,medium
وَالسِّيرَةِ,w-aː-l-s-s-iː-r-a,low
قَلِيلِ,q-a-l-iː-l-i,medium
سِتُّونَ,s-i-t-t-uː-n-a,low
وَتَذْكُرَ,w-a-t-a-ð-k-u-r-a,medium
طَبَقَةٌ,tˤ-a-b-a-q-a,medium
بِدِلَالَةِ,b-i-d-i-l-aː-l-a,low
التَّوَصُّلِ,a-t-t-a-w-a-sˤ-sˤ-u-l-i,medium
مِهْنَةً,m-i-h-n-a,low
وَالْبَحْثَ,w-aː-l-b-a-ħ-θ-a,medium
الْقُرْآنِيُّ,a-l-q-u-r-ʔ-aː-n-i-j-j-u,medium
وَأَرْنَبَة,w-a-ʔ-a-r-n-a-b-a,medium
لِلْهِمَمِ,l-i-l-h-i-m-a-m-i,low
سَلَكَكُمْ,s-a-l-a-k-a-k-u-m,low
وُجَهَاء,w-u-dʒ-a-h-aː-ʔ,medium
يَسْتَوِي,j-a-s-t-a-w-iː,low
الْجَفْر,a-l-dʒ-a-f-r,low
زَيَّنَتْ,z-a-j-j-a-n-a-t,low
الْأَعْقَدِ,a-l-ʔ-a-ʕ-q-a-d-i,high
مُؤَهَّلٍ,m-u-ʔ-a-h-h-a-l-i-n,medium
وَافْتَرَصَهَا,w-aː-f-t-a-r-a-sˤ-a-h-aː,medium
السَّبِيلُ,a-s-s-a-b-iː-l-u,low
وَصَرَامَة,w-a-sˤ-a-r-aː-m-a,medium
الْمَصْبُورَةِ؛,a-l-m-a-sˤ-b-uː-r-a,medium
الْقُلاع,a-l-q-u-l-ʕ,medium
يُنْزِلَ,j-u-n-z-i-l-a,low
الْمُحْتَلِمِ,a-l-m-u-ħ-t-a-l-i-m-i,medium
سَبِيلُهُ,s-a-b-iː-l-u-h-u,low
وَالْجُهْدُ,w-aː-l-dʒ-u-h-d-u,low
الْمَحْلِ,a-l-m-a-ħ-l-i,medium
يَتَلَفَّتُ,j-a-t-a-l-a-f-f-a-t-u,low
التَّاءِ,a-t-t-aː-ʔ-i,medium
وَصِفَةُ,w-a-sˤ-i-f-a,medium
دَكَارَ,d-a-k-aː-r-a,low
دَرْوِيشٍ,d-a-r-w-iː-ʃ-i-n,low
الْمُحَبَّرَة,a-l-m-u-ħ-a-b-b-a-r-a,medium
أَمْرِي,ʔ-a-m-r-iː,medium
وَأَرْهَقْتُهُ,w-a-ʔ-a-r-h-a-q-t-u-h-u,medium
غَضْنَكَ,ɣ-a-dˤ-n-a-k-a,medium
دَكَّهُ,d-a-k-k-a-h-u,low
الْوِجْدَانَاتِ,a-l-w-i-dʒ-d-aː-n-aː-t-i,low
سَنَشْعُرُ,s-a-n-a-ʃ-ʕ-u-r-u,medium
جَرْعَهُ,dʒ-a-r-ʕ-a-h-u,medium
وَفُكَاهَتِهِ,w-a-f-u-k-aː-h-a-t-i-h-i,low
بِنْيَتَهَا,b-i-n-j-a-t-a-h-aː,low
الأَدِيمَ,a-l-ʔ-a-d-iː-m-a,medium
عَزِيزِي,ʕ-a-z-iː-z-iː,medium
وَعِرْفَانَهُ,w-a-ʕ-i-r-f-aː-n-a-h-u,medium
بلْقِيس,b-l-q-iː-s,medium
عَزُوف,ʕ-a-z-uː-f,medium
وَغَـدَتْ,w-a-ɣ-a-d-a-t,medium
وَتَسَلَّعَ,w-a-t-a-s-a-l-l-a-ʕ-a,medium
تَكْتُمُونَ,t-a-k-t-u-m-uː-n-a,low
وَتَقْدِيرًا,w-a-t-a-q-d-iː-r-a-n,medium
وَتَهَوَّمَ,w-a-t-a-h-a-w-w-a-m-a,low
وَادِعاً,w-aː-d-i-ʕ,medium
اِسْتَفَدْته,s-t-a-f-a-d-t-h,low
لِفَرَائِسِ,l-i-f-a-r-aː-ʔ-i-s-i,medium
لِعِيسَى,l-i-ʕ-iː-s-aː,medium
الطَّاحِنَةُ,a-tˤ-tˤ-aː-ħ-i-n-a,high
دَائِرِيٍّ,d-aː-ʔ-i-r-i-j-j-i-n,medium
جَوَانِبِهَا,dʒ-a-w-aː-n-i-b-i-h-aː,low
ظَالِمُونَ,ðˤ-aː-l-i-m-uː-n-a,medium
حِفْظِي,ħ-i-f-ðˤ-iː,medium
دَخْلِ,d-a-x-l-i,low
عَيْنٍ,ʕ-a-j-n-i-n,medium
يُدَلُّ,j-u-d-a-l-l-u,low
الشَّبَكِيَّ,a-ʃ-ʃ-a-b-a-k-i-j-j-a,low
النَّغْلِيِّ,a-n-n-a-ɣ-l-i-j-j-i,medium
إِذْنِهَا,ʔ-i-ð-n-i-h-aː,medium
عدَمِ,ʕ-d-a-m-i,medium
حِلْمًا,ħ-i-l-m-a-n,medium
أَنْجَعِ,ʔ-a-n-dʒ-a-ʕ-i,medium
سَالُومُون,s-aː-l-uː-m-uː-n,low
الْحُقُوقَ,a-l-ħ-u-q-uː-q-a,high
أَفْلَحُوا,ʔ-a-f-l-a-ħ-uː,medium
كَسَل,k-a-s-a-l,low
فَوَزَنَ,f-a-w-a-z-a-n-a,low
لَابَسَهَا,l-aː-b-a-s-a-h-aː,low
مُجْتَمِعَةٍ,m-u-dʒ-t-a-m-i-ʕ-a,medium
الْعُمَانِيَّةِ,a-l-ʕ-u-m-aː-n-i-j-j-a,medium
سَعَلَ,s-a-ʕ-a-l-a,medium
مَدَدًا,m-a-d-a-d-a-n,low
ضَرُورَةً,dˤ-a-r-uː-r-a,medium
رَضِيّ,r-a-dˤ-i-j-j,medium
الْجَهْرَ,a-l-dʒ-a-h-r-a,low
الْجِهَازُ,a-l-dʒ-i-h-aː-z-u,low
الْحَضَارَاتُ,a-l-ħ-a-dˤ-aː-r-aː-t-u,medium
خُلاّنِي,x-u-l-n-iː,low
تَثْقُلُ,t-a-θ-q-u-l-u,medium
بِفُرُوعِ,b-i-f-u-r-uː-ʕ-i,medium
الْجَامِعَةُ,a-l-dʒ-aː-m-i-ʕ-a,medium
أَوَّلهما,ʔ-a-w-w-a-l-h-m,medium
الِاسْتِمْرَارِيَّةَ,a-l-s-t-i-m-r-aː-r-i-j-j-a,low
الْقِرْدُ,a-l-q-i-r-d-u,medium
مَطَابِعُ,m-a-tˤ-aː-b-i-ʕ-u,medium
وَيَبِسَتْ,w-a-j-a-b-i-s-a-t,low
وَالْكُفْرَ,w-aː-l-k-u-f-r-a,low
العامَّةِ,a-l-ʕ-m-m-a,medium
بَيْعِهَا,b-a-j-ʕ-i-h-aː,medium
بِفِعْلٍ,b-i-f-i-ʕ-l-i-n,medium
اللُّغَةَ,a-l-l-u-ɣ-a,medium
لِلتَّقْلِيلِ,l-i-l-t-t-a-q-l-iː-l-i,medium
قَادُوهَا,q-aː-d-uː-h-aː,medium
مُرْتَفِعَةٌ,m-u-r-t-a-f-i-ʕ-a,medium
يُبْعَثُونَ,j-u-b-ʕ-a-θ-uː-n-a,medium
سَيَنْطَلِقُ,s-a-j-a-n-tˤ-a-l-i-q-u,medium
وَالْمَنْزِلَةِ,w-aː-l-m-a-n-z-i-l-a,low
ثَبَت,θ-a-b-a-t,medium
وَبَيَانِ,w-a-b-a-j-aː-n-i,low
الِامْتِدَادُ,a-l-m-t-i-d-aː-d-u,low
الدّوْلَةِ,a-d-d-w-l-a,low
مُتَطَوِّرَةٌ,m-u-t-a-tˤ-a-w-w-i-r-a,medium
إلَى,ʔ-i-l-aː,medium
غَرَائِبِهَا,ɣ-a-r-aː-ʔ-i-b-i-h-aː,medium
